id,category,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
211,Chart Patterns,Ciri khas Head & Shoulders top yang membedakannya dari triple top adalah…,Puncak tengah (kepala) lebih tinggi dari kedua bahu,Volume tertinggi pada bahu kanan,Neckline selalu horizontal,Semua puncak memiliki tinggi yang sama,A,"Head & Shoulders memiliki kepala (puncak tengah) yang secara signifikan lebih tinggi daripada bahu kiri dan kanan, sementara triple top memiliki tiga puncak dengan ketinggian kurang lebih sama."
212,Chart Patterns,"Dalam H&S top, volume yang ideal untuk mengonfirmasi reversal adalah…","Volume tertinggi pada bahu kiri, menurun pada kepala, dan lebih rendah pada bahu kanan",Volume meningkat terus dari bahu kiri hingga bahu kanan,Volume tertinggi pada kepala,Volume tidak berperan dalam H&S,A,"Volume yang khas pada H&S top adalah volume tertinggi pada bahu kiri (akumulasi), volume lebih rendah pada kepala (puncak antusiasme), dan volume terendah pada bahu kanan (exhaustion) sebelum breakout."
213,Chart Patterns,"Jika setelah penembusan neckline H&S top, harga turun lalu kembali naik menyentuh neckline tanpa menembusnya ke atas, aksi ini disebut…",Retest yang mengonfirmasi reversal,Failure swing,Bull trap,Pola H&S yang gagal,A,"Retest atau pullback ke neckline setelah breakout adalah hal normal dan justru mengonfirmasi validitas reversal, asalkan neckline bertahan sebagai resistance."
214,Chart Patterns,Target penurunan minimum untuk H&S top dihitung dengan…,Mengurangi jarak vertikal dari kepala ke neckline dari titik breakout,Menambahkan jarak dari kepala ke neckline ke titik breakout,Mengukur jarak dari bahu kiri ke bahu kanan,Menggunakan Fibonacci 61.8% dari tinggi kepala,A,"Target dihitung dengan mengukur jarak dari puncak kepala ke garis leher (neckline) secara vertikal, lalu memproyeksikan jarak yang sama ke bawah dari titik breakout neckline."
215,Chart Patterns,H&S top yang terjadi pada time frame bulanan dengan neckline yang sangat landai (hampir horizontal) dianggap…,Kurang valid karena neckline terlalu landai,Lebih kuat daripada neckline curam,Tidak dapat diproyeksikan targetnya,Sama validnya dengan neckline curam,B,Neckline yang landai (hampir horizontal) pada H&S top umumnya menghasilkan sinyal reversal yang lebih kuat karena menunjukkan level support yang konsisten dan lebih sulit ditembus.
216,Chart Patterns,"Seorang trader melihat H&S top dengan bahu kanan yang terbentuk lebih rendah daripada bahu kiri, namun harga setelah breakout neckline hanya turun sedikit lalu berbalik naik melampaui kepala. Peristiwa ini dikenal sebagai…",H&S yang sukses dengan target terpenuhi,Pola H&S yang berubah menjadi diamond top,Failed H&S yang berpotensi menjadi double top,Konfirmasi volume yang kurang,C,"Jika setelah breakout harga berbalik naik melebihi kepala, maka H&S top dinyatakan gagal (failed) dan sering berubah menjadi pola double top atau konsolidasi lanjutan."
217,Chart Patterns,Perbedaan volume yang khas antara IH&S dan H&S top adalah…,Volume tertinggi pada kepala (tengah) untuk IH&S,"Volume terendah pada bahu kiri, tertinggi pada breakout",Volume meningkat pada bahu kanan dan melonjak saat breakout neckline,Volume tidak berbeda signifikan,C,"Pada IH&S, volume idealnya meningkat dari bahu kiri ke kepala (rendah), lalu ke bahu kanan (lebih tinggi), dan melonjak drastis saat breakout neckline ke atas."
218,Chart Patterns,"Jika neckline pada IH&S miring ke bawah (descending neckline), maka…",Pola menjadi kurang valid karena harus horizontal,Sinyal reversal bullish lebih kuat karena menunjukkan tekanan jual yang makin lemah,Target harga lebih sulit dihitung,Pola berubah menjadi falling wedge,B,"Neckline yang miring ke bawah pada IH&S justru menunjukkan bahwa level resistance semakin menurun, mengindikasikan pelemahan penjual dan memperkuat potensi breakout bullish."
219,Chart Patterns,"Setelah breakout IH&S, harga sering kali melakukan pullback ke neckline. Jika pullback tersebut berhasil bertahan di atas neckline, maka…",Pola dinyatakan gagal,Konfirmasi tambahan untuk posisi beli,Target harga harus disesuaikan,Volume harus diabaikan,B,Pullback yang berhasil mempertahankan neckline sebagai support adalah konfirmasi lanjutan (confirmation) yang memberikan peluang entry kedua dengan risiko lebih rendah.
220,Chart Patterns,Target kenaikan untuk IH&S dihitung dengan memproyeksikan…,Jarak dari kepala ke neckline dari titik breakout neckline,Jarak dari bahu kiri ke bahu kanan,Rata-rata kedalaman kepala dan bahu,Jarak dari lembah kepala ke puncak bahu kanan,A,"Sama seperti H&S, target dihitung dengan mengukur jarak vertikal dari lembah terdalam (kepala) ke neckline, lalu ditambahkan ke titik breakout neckline."
221,Chart Patterns,"Seorang trader menemukan IH&S pada grafik mingguan saham X. Namun, volume saat breakout neckline tidak meningkat secara signifikan. Kemungkinan yang akan terjadi adalah…",Breakout tetap valid karena IH&S tidak memerlukan volume,Harga akan mengalami false breakout dan turun kembali,Diperlukan konfirmasi dari indikator RSI,Breakout akan sukses tetapi dengan pergerakan lambat,B,"Kurangnya volume pada breakout IH&S adalah peringatan kuat akan false breakout, karena partisipasi pasar diperlukan untuk mendorong harga secara berkelanjutan."
222,Chart Patterns,Manakah pernyataan yang BENAR mengenai hubungan IH&S dengan teori Dow?,IH&S melanggar prinsip tren persisten,IH&S membutuhkan konfirmasi dari indeks lain menurut Dow Theory,IH&S tidak relevan dengan Dow Theory,IH&S hanya berlaku untuk saham individual,B,"Menurut Dow Theory, sinyal reversal seperti IH&S harus dikonfirmasi oleh pergerakan indeks atau sektor terkait untuk meningkatkan validitas sinyal, bukan hanya pada satu instrumen."
223,Support & Resistance,"Seorang trader melihat harga saham menembus level resistance horizontal Rp10.000 dengan volume tinggi, lalu harga naik ke Rp10.500. Kemudian harga turun kembali menyentuh Rp10.000 tanpa menembusnya. Menurut prinsip role reversal, level Rp10.000 sekarang berfungsi sebagai…",Resistance baru yang lebih kuat dari sebelumnya,Support yang valid karena konfirmasi retest,Level netral yang tidak memiliki arti,Breakout gagal karena harga kembali ke level awal,B,"Prinsip role reversal menyatakan bahwa level resistance yang ditembus secara meyakinkan akan berubah fungsi menjadi support, dan retest yang berhasil bertahan di atasnya mengonfirmasi perubahan fungsi tersebut, bukan sebagai breakout gagal."
224,Support & Resistance,"Dalam uptrend yang kuat, harga beberapa kali menyentuh trendline naik (dynamic support) tetapi kemudian bergerak turun tajam menembus trendline tersebut dengan volume rendah. Kondisi ini paling tepat diartikan sebagai…",Konfirmasi pembalikan tren bearish,False breakdown karena volume rendah,Pelemahan sementara yang masih dalam tren naik,Konfirmasi bahwa trendline tidak relevan,C,"Penembusan trendline support dinamis dengan volume rendah seringkali merupakan koreksi sementara (false breakdown) dan belum mengonfirmasi pembalikan tren, terutama jika harga masih berada di atas swing low sebelumnya."
225,Support & Resistance,"Seorang trader menggunakan EMA 200 sebagai dynamic resistance pada grafik harian. Harga berhasil menembus EMA 200 ke atas dengan volume tinggi, lalu beberapa hari kemudian turun kembali ke bawah EMA 200. Tindakan yang paling tepat adalah…",Menganggap breakout gagal dan membuka posisi jual,Menunggu konfirmasi retest EMA 200 sebagai support,Membeli karena EMA 200 sudah tertembus,Mengabaikan EMA 200 karena indikator lagging,A,"Ketika harga menembus dynamic resistance lalu kembali jatuh di bawahnya tanpa retest yang sukses, itu adalah sinyal false breakout, dan EMA 200 kembali berfungsi sebagai resistance, sehingga posisi jual lebih tepat."
226,Support & Resistance,"Saham dengan harga Rp49.900 bergerak naik ke Rp50.000 lalu turun kembali ke Rp49.800, kemudian naik lagi ke Rp50.000 dan turun lagi. Level Rp50.000 dalam skenario ini paling mungkin berfungsi sebagai…",Support psikologis,Resistance psikologis,Level netral tanpa makna,Breakout yang sedang terjadi,B,"Angka bulat seperti Rp50.000 adalah psychological level di mana banyak pelaku pasar cenderung menjual (take profit atau short), sehingga harga berulang kali tertahan di level tersebut, menjadikannya resistance psikologis."
227,Support & Resistance,"Sebuah level support horizontal telah disentuh harga sebanyak 5 kali dalam 3 bulan tanpa berhasil ditembus. Pada sentuhan keenam, harga menembus support dengan volume sedang. Analis yang berpengalaman akan menyimpulkan…",Support semakin kuat karena sering diuji,Penembusan tetap valid meskipun volume sedang,Penembusan mungkin palsu karena support yang sering diuji cenderung melemah,Diperlukan volume sangat tinggi untuk konfirmasi,C,"Setiap kali support diuji, level tersebut melemah karena akumulasi tekanan jual; setelah diuji terlalu sering (misal >4 kali), penembusan dengan volume sedang pun bisa valid karena support sudah jenuh."
228,Support & Resistance,"Harga sebuah aset telah berkonsolidasi di antara support Rp9.000 dan resistance Rp10.000 selama 2 bulan. Tiba-tiba harga menembus resistance Rp10.000 dengan volume besar, lalu keesokan harinya harga kembali ke Rp9.900. Menurut analisis breakout yang benar, ini adalah…",Breakout sukses karena volume besar,False breakout karena harga gagal bertahan di atas resistance,Retest normal sebelum kelanjutan breakout,Breakdown yang salah identifikasi,B,"Breakout yang valid mensyaratkan harga menutup di atas resistance (bukan hanya intraday) dan idealnya bertahan setidaknya 2-3 hari; jika langsung kembali ke bawah, itu false breakout meskipun volume sempat besar."
229,Support & Resistance,"Seorang trader menemukan bahwa level Rp15.000 bertepatan dengan Fibonacci retracement 61,8%, MA 200, dan bekas resistance historis. Namun volume saat harga menyentuh level tersebut rendah. Strategi terbaik adalah…",Segera entry karena confluence level sangat kuat,Entry dengan stop loss ketat karena confluence mengalahkan volume,Menunggu konfirmasi volume atau pola candlestick,Entry hanya jika menggunakan order limit,C,"Confluence level memang memperkuat area support/resistance, tetapi tanpa konfirmasi volume atau aksi harga (misal reversal candle), entry terlalu dini berisiko tinggi; menunggu bukti tambahan adalah tindakan bijak."
230,Support & Resistance,Seorang trader membeli di dekat support horizontal Rp20.000 dengan stop loss di Rp19.900 (10 poin di bawah support). Namun support tersebut sering memiliki shadow bawah hingga Rp19.950. Kesalahan paling fatal dari penempatan stop loss ini adalah…,Stop loss terlalu lebar dari support,Stop loss terlalu sempit (tidak memberi ruang untuk noise pasar),Stop loss seharusnya di atas support,Stop loss tidak perlu karena support kuat,B,"Support sering memiliki fluktuasi kecil (shadow/wick) yang menembus level support sementara; stop loss yang terlalu dekat (hanya 10 poin dari support dengan shadow hingga 50 poin) akan terkena oleh noise pasar, menyebabkan kerugian yang tidak perlu."
231,Support & Resistance,"Dalam downtrend, seorang trader menggambar trendline resistance yang menghubungkan dua lower high. Harga kemudian menyentuh trendline tersebut untuk ketiga kalinya, tetapi gagal menembus. Pada sentuhan keempat, harga berhasil menembus dengan volume tinggi. Ini menandakan…",Downtrend semakin kuat,Konfirmasi pembalikan tren naik (bullish),Trendline tidak valid karena terlalu sering disentuh,Masih dalam downtrend karena belum membentuk higher high,B,"Penembusan trendline resistance dengan volume tinggi setelah beberapa kali gagal adalah sinyal awal reversal bullish, terutama jika disertai dengan perubahan struktur higher high/higher low, meskipun konfirmasi lebih lanjut masih diperlukan."
232,Support & Resistance,"Harga saham menembus level support Rp30.000 dengan volume tinggi dan turun hingga Rp28.000. Kemudian harga naik kembali ke Rp30.000. Menurut prinsip support-resistance flip, level Rp30.000 sekarang seharusnya berperan sebagai…",Support baru setelah retest,Resistance karena peran telah berbalik,Level yang tidak penting lagi,Area akumulasi,B,"Ketika support ditembus secara meyakinkan, perannya berbalik menjadi resistance; oleh karena itu ketika harga naik kembali menyentuh level tersebut, ia akan bertindak sebagai penghalang (resistance) yang menahan kenaikan lebih lanjut."
233,Technical Indicators,"Seorang trader melihat ADX menunjukkan angka 32 pada saham XYZ, sementara harga sedang membentuk lower high dan lower low. Pernyataan yang paling tepat mengenai kondisi ini adalah…",Tren sedang lemah karena ADX di atas 25 hanya indikasi pasar ranging,Tren bearish yang kuat karena ADX >25 mengonfirmasi tren kuat tanpa memedulikan arah,"Tren bullish yang kuat karena ADX mengukur kekuatan terlepas dari arah, tetapi harus dikonfirmasi RSI",Tidak ada tren yang jelas karena ADX di atas 25 justru berarti pasar sideways,B,"ADX mengukur kekuatan tren (trend strength) secara absolut, bukan arah; nilai ADX >25 menandakan tren yang kuat, dan karena harga membentuk lower high/lower low, maka tren yang kuat tersebut adalah tren bearish, bukan bullish atau ranging."
234,Technical Indicators,"Dalam uptrend yang sangat kuat, RSI saham tetap berada di atas 70 selama 14 hari berturut-turut. Tindakan paling tepat berdasarkan prinsip strength analysis adalah…",Segera menjual karena overbought menjamin koreksi,Tetap bertahan dalam posisi beli karena tren kuat dapat mempertahankan RSI tinggi dalam jangka panjang,Membeli lebih banyak karena overbought menunjukkan kekuatan ekstrem,Menggunakan stop loss di bawah level terendah 14 hari,B,"Dalam tren yang sangat kuat (misal ditandai ADX >25), RSI dapat tetap di atas 70 untuk waktu lama tanpa koreksi signifikan; menjual hanya karena overbought adalah kesalahan umum karena momentum kuat dapat mengalahkan indikator osilator."
235,Technical Indicators,"Harga saham membuat higher high baru, tetapi RSI membentuk lower high. Divergence bearish ini mengindikasikan…",Harga akan segera berbalik turun pada candlestick berikutnya,"Pelemahan momentum di balik kenaikan, yang merupakan peringatan dini potensi pembalikan, tetapi tidak menjamin waktu segera",Konfirmasi bahwa tren naik masih sehat dan akan berlanjut,Kesalahan indikator karena RSI tidak boleh digunakan untuk divergence,B,"Divergence bearish menunjukkan hilangnya momentum di balik pergerakan harga (warning signal), namun waktu pembalikan tidak dapat dipastikan dan bisa terjadi setelah beberapa hari atau minggu, bukan seketika."
236,Technical Indicators,"Bollinger Bands pada grafik harian menunjukkan penyempitan pita (squeeze) yang sangat sempit selama dua minggu. Berdasarkan konsep volatility, pernyataan yang benar adalah…",Harga pasti akan breakout ke atas karena volatilitas rendah diikuti ekspansi,"Breakout yang terjadi dapat ke atas atau ke bawah, dan arahnya tidak dapat ditentukan hanya dari squeeze",Tidak akan terjadi breakout karena volatilitas rendah berarti pasar tenang,Harga akan terus sideways karena pita menyempit menandakan konsolidasi permanen,B,"Pita Bollinger yang menyempit mengindikasikan volatilitas rendah dan sering mendahului ledakan volatilitas (explosive breakout), tetapi arah breakout (naik atau turun) sama sekali tidak dapat diprediksi hanya dari squeeze itu sendiri."
237,Technical Indicators,Seorang trader menggunakan ATR harian sebesar Rp500 pada saham yang biasa bergerak Rp2.000 per hari. Tiba-tiba volatilitas meningkat dan ATR menjadi Rp1.500. Stop loss yang sebelumnya 1x ATR (Rp500) kini…,Tetap menggunakan Rp500 karena konsisten dengan rencana awal,Harus disesuaikan menjadi Rp1.500 (1x ATR baru) untuk mengakomodasi volatilitas yang lebih tinggi,Tidak perlu diubah karena ATR hanya indikator lagging,Diperkecil menjadi Rp250 karena volatilitas tinggi berarti risiko lebih besar,B,"ATR digunakan untuk menyesuaikan stop loss terhadap volatilitas pasar; ketika ATR naik, stop loss harus dilebarkan (misal tetap 1x atau 2x ATR baru) agar tidak terkena oleh fluktuasi normal yang lebih besar."
238,Technical Indicators,Harga melonjak tajam dengan lonjakan volume dan Bollinger Bands melebar sangat cepat. Namun RSI bergerak dari 65 menjadi 68 (hanya naik sedikit) sementara harga naik 10%. Skenario ini paling mungkin mengindikasikan…,Awal dari tren naik baru yang sangat kuat,"Puncak sementara (blow-off top) dengan momentum yang tidak mengikuti harga, berpotensi koreksi",Konfirmasi bullish karena volume dan volatilitas tinggi,Sideways market setelah lonjakan,B,"Kenaikan harga tajam dengan volatilitas tinggi (Bollinger melebar) tetapi momentum (RSI) tidak naik secara proporsional menunjukkan divergensi dan sering menjadi tanda blow-off top yang diikuti koreksi, bukan awal tren berkelanjutan."
239,Technical Indicators,"Dalam downtrend yang ditandai ADX 45, RSI saham turun hingga 22. Menurut prinsip strength, tindakan yang paling tepat adalah…",Membeli karena oversold menjamin reversal,Tetap menghindari posisi beli karena tren turun kuat (ADX tinggi) dapat membuat RSI tetap rendah dalam waktu lama,Menjual lebih banyak karena oversold menunjukkan kelemahan ekstrem,Menggunakan RSI periode lebih panjang untuk konfirmasi,B,"Dalam tren turun yang kuat (ADX >25), RSI bisa tetap di bawah 30 untuk waktu lama tanpa pembalikan berarti; membeli hanya karena oversold adalah kesalahan karena momentum bearish masih dominan."
240,Technical Indicators,Harga menyentuh upper band Bollinger sementara band sedang melebar (ekspansi volatilitas). Ini berarti…,Harga pasti akan turun karena overbought,"Upper band bertindak sebagai resistance dinamis, tetapi dalam tren kuat harga bisa ""berjalan di sepanjang band""",Sinyal jual yang akurat dan harus segera dieksekusi,Volatilitas akan segera menurun,B,"Menyentuh upper band di saat band melebar tidak selalu berarti overbought atau reversal; dalam tren kuat yang disertai ekspansi volatilitas, harga dapat terus bergerak di sepanjang upper band sebagai tanda momentum kuat."
241,Technical Indicators,"ADX saham menunjukkan nilai 18, dan RSI berada di 55. Volatilitas (ATR) rendah. Kondisi ini paling cocok untuk strategi…",Trend following (mengikuti tren),"Mean reversion atau range trading (jual di resistance, beli di support)",Breakout trading dengan stop loss lebar,Membeli karena RSI netral,B,"ADX di bawah 20 mengindikasikan tidak adanya tren (sideways/ ranging), sehingga strategi mean reversion (jual di resistance, beli di support) lebih cocok daripada trend following atau breakout."
242,Technical Indicators,"Harga membuat lower low tetapi RSI membuat higher low (bullish divergence), sementara Bollinger Bands sangat sempit (squeeze) dan ATR rendah. Skenario ini paling mungkin diikuti oleh…",Sideways berkelanjutan karena volatilitas rendah meniadakan sinyal divergence,"Breakout besar (naik atau turun) karena squeeze, tetapi divergence bullish meningkatkan probabilitas breakout ke atas",Penurunan harga lebih dalam karena lower low masih berlanjut,Konfirmasi bahwa divergence palsu karena RSI tidak cocok untuk kondisi low volatility,B,"Squeeze Bollinger (volatilitas rendah) menandakan potensi breakout eksplosif, dan adanya bullish divergence (harga lower low vs RSI higher low) meningkatkan kemungkinan arah breakout ke atas, meskipun tetap tidak 100% pasti."
243,Candlestick Patterns,"Seorang trader melihat Doji terbentuk setelah tren naik yang panjang disertai volume tinggi. Namun, candlestick berikutnya adalah Bullish Engulfing. Berdasarkan analisis candlestick, pernyataan paling tepat adalah…",Doji saja sudah cukup sebagai sinyal reversal bearish,"Doji menunjukkan indecision, tetapi konfirmasi dari candlestick berikutnya (Bullish Engulfing) membatalkan potensi reversal bearish",Doji dengan volume tinggi selalu berarti reversal pasti,Doji harus diikuti oleh gap untuk menjadi valid,B,"Doji mengindikasikan ketidakpastian pasar, tetapi sinyal reversal memerlukan konfirmasi dari candlestick berikutnya; munculnya Bullish Engulfing setelah Doji justru mengonfirmasi keberlanjutan tren naik, bukan pembalikan."
244,Candlestick Patterns,"Hammer terbentuk di dasar downtrend dengan lower wick dua kali panjang badan, tetapi badan candle berwarna merah (hitam). Apakah Hammer tetap valid sebagai sinyal bullish reversal?","Tidak, karena Hammer harus memiliki badan hijau (putih) untuk valid","Ya, yang terpenting adalah lokasi (dasar downtrend) dan bentuk (lower wick panjang, badan kecil), warna badan tidak membatalkan sinyal",Hanya jika volume meningkat drastis,"Tidak, karena Hammer merah menunjukkan tekanan jual masih dominan",B,"Hammer tetap valid sebagai sinyal bullish reversal meskipun badan berwarna merah, karena esensinya adalah penolakan terhadap harga rendah (lower wick panjang) setelah downtrend, terlepas dari warna badan."
245,Candlestick Patterns,"Shooting Star muncul di puncak uptrend dengan upper wick yang sangat panjang dan badan kecil di bagian bawah. Namun, shooting star tersebut diikuti oleh candlestick hijau (bullish) yang menutup di atas high shooting star. Ini berarti…",Shooting star tetap merupakan sinyal bearish reversal yang kuat,Konfirmasi gagal sehingga sinyal bearish dibatalkan dan tren naik kemungkinan berlanjut,Shooting star harus diabaikan karena tidak disertai volume,Diperlukan shooting star kedua untuk konfirmasi,B,"Candlestick pattern memerlukan konfirmasi; jika setelah shooting star harga bergerak naik melewati puncaknya, maka sinyal bearish dianggap gagal (failed signal) dan tren naik cenderung berlanjut."
246,Candlestick Patterns,"Pada grafik 1 jam, terjadi Bullish Engulfing di dekat level support utama. Namun, engulfing terjadi pada saat volume rendah dan pasar sedang dalam kondisi low volatility. Tindakan paling bijak adalah…",Segera entry beli karena Bullish Engulfing di support sangat kuat,Menunggu konfirmasi tambahan seperti volume atau indikator lain karena engulfing dengan volume rendah rentan false signal,Entry jual karena engulfing palsu di support,Mengabaikan volume karena pola engulfing tidak membutuhkan volume,B,Bullish Engulfing yang terjadi dengan volume rendah di area support kurang meyakinkan; trader expert akan menunggu konfirmasi volume yang meningkat atau aksi harga lanjutan untuk menghindari false reversal.
247,Candlestick Patterns,"Morning Star tiga-candle: candle merah panjang, kemudian candle kecil (doji atau spinning top) yang gap down, lalu candle hijau panjang. Namun, candle hijau panjang tersebut tidak menutup hingga setidaknya setengah dari tubuh candle merah pertama. Apakah pola ini tetap dianggap Morning Star yang valid?","Ya, asalkan ada gap antara candle kedua dan ketiga","Tidak, karena kriteria Morning Star mengharuskan candle ketiga menutup setidaknya di atas 50% tubuh candle pertama, idealnya seluruhnya",Tetap valid jika volume tinggi pada candle ketiga,Pola berubah menjadi Evening Star,B,"Morning Star yang valid memerlukan candle ketiga (hijau) untuk menutup setidaknya setengah dari tubuh candle merah pertama, idealnya lebih; jika tidak, sinyal bullish lemah dan tidak dapat diandalkan."
248,Candlestick Patterns,"Setelah uptrend panjang, terbentuk Evening Star: candle hijau panjang, candle kecil (doji) yang gap up, lalu candle merah panjang. Ternyata candle merah panjang menutup tepat di level tertinggi candle hijau pertama. Ini berarti…",Evening Star tetap bearish reversal karena candle ketiga menutup di bawah candle pertama,Sinyal bearish lemah karena belum menutup di bawah tubuh candle hijau pertama secara signifikan,Pola menjadi bullish continuation,Diperlukan gap antara candle kedua dan ketiga,B,"Evening star yang ideal memiliki candle ketiga yang menutup setidaknya di bawah titik tengah atau lebih rendah dari candle pertama; penutupan tepat di level tertinggi menunjukkan tekanan jual belum cukup kuat, sehingga sinyal reversal lemah."
249,Candlestick Patterns,"Three White Soldiers terbentuk dengan ketiga candle memiliki badan hijau panjang dan menutup di level tertinggi masing-masing. Namun, volume pada candle kedua dan ketiga justru lebih rendah daripada candle pertama. Menurut analisis lanjutan, ini mengindikasikan…",Pola sangat bullish karena konfirmasi harga,"Pelemahan momentum di balik kenaikan, sehingga potensi koreksi atau konsolidasi lebih tinggi",Volume tidak relevan untuk three white soldiers,Harus segera entry beli karena pola kuat,B,"Three white soldiers idealnya disertai volume yang meningkat atau setidaknya konsisten; volume yang menurun pada candle berikutnya menunjukkan melemahnya minat beli, sehingga tren naik mungkin tidak berkelanjutan."
250,Candlestick Patterns,Three Black Crows muncul setelah downtrend yang sudah berlangsung cukup lama. Apakah pola ini tetap dianggap sebagai sinyal bearish continuation?,"Ya, karena Three Black Crows selalu berarti bearish continuation","Tidak, karena setelah downtrend panjang, Three Black Crows bisa menjadi exhaustion pattern (kehabisan tenaga) dan justru mendahului reversal bullish",Hanya jika volume meningkat,Three Black Crows tidak valid setelah downtrend,B,"Konteks sangat penting; Three Black Crows setelah downtrend yang panjang mungkin mencerminkan panic selling atau exhaustion, sehingga berpotensi menjadi sinyal reversal (bullish) daripada kelanjutan bearish, berbeda dengan jika muncul di awal downtrend."
